Capability,TownBell demonstrates,Replay source,Direct Reconstructed Inferred etc,Likely algorithm,Accuracy confidence,Required raw fields,Age of Friends use,V1 V2 Future
Defensive investment [defensive_investment],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Playstyle [playstyle],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Resign context [resign_context],Yes in supplied public JSON export,"ACTION, CHAT and FLARE operations plus reconstructed age windows",B or C,"Count events or compare their timing with inferred fights, pressure and age intervals","High for raw counts; medium or lower for initiative, etiquette, inactivity or strategic labels","timestamp, actor, action type, chat audience and text, flare targets, age intervals and fight evidence","Match narrative facts, social behavior, pressure and performance models",V2
Gg etiquette [gg_etiquette],Yes in supplied public JSON export,"ACTION, CHAT and FLARE operations plus reconstructed age windows",B or C,"Count events or compare their timing with inferred fights, pressure and age intervals","High for raw counts; medium or lower for initiative, etiquette, inactivity or strategic labels","timestamp, actor, action type, chat audience and text, flare targets, age intervals and fight evidence","Match narrative facts, social behavior, pressure and performance models",V2
Chat messages [chat_messages],Yes in supplied public JSON export,"ACTION, CHAT and FLARE operations plus reconstructed age windows",B or C,"Count events or compare their timing with inferred fights, pressure and age intervals","High for raw counts; medium or lower for initiative, etiquette, inactivity or strategic labels","timestamp, actor, action type, chat audience and text, flare targets, age intervals and fight evidence","Match narrative facts, social behavior, pressure and performance models",V2
Flares used [flares_used],Yes in supplied public JSON export,"ACTION, CHAT and FLARE operations plus reconstructed age windows",B or C,"Count events or compare their timing with inferred fights, pressure and age intervals","High for raw counts; medium or lower for initiative, etiquette, inactivity or strategic labels","timestamp, actor, action type, chat audience and text, flare targets, age intervals and fight evidence","Match narrative facts, social behavior, pressure and performance models",V2
Game pauses [game_pauses],Yes in supplied public JSON export,"ACTION, CHAT and FLARE operations plus reconstructed age windows",B or C,"Count events or compare their timing with inferred fights, pressure and age intervals","High for raw counts; medium or lower for initiative, etiquette, inactivity or strategic labels","timestamp, actor, action type, chat audience and text, flare targets, age intervals and fight evidence","Match narrative facts, social behavior, pressure and performance models",V2
Actions total [actions_total],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Apm [apm],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Eapm [eapm],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Apm efficiency [apm_efficiency],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Peak apm minute [peak_apm_minute],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Apm growth [apm_growth],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Avg selection size [avg_selection_size],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Max selection size [max_selection_size],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Production batch size [production_batch_size],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Shift queue share [shift_queue_share],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Gather points set [gather_points_set],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Gather points to target [gather_points_to_target],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Gather points to resource [gather_points_to_resource],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Primary gather point target [primary_gather_point_target],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Move vs action discipline [move_vs_action_discipline],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Actions in bursts [actions_in_bursts],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Camera jumps per min [camera_jumps_per_min],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
Offscreen commands [offscreen_commands],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
Dark age apm [dark_age_apm],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Actions per fight [actions_per_fight],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Command type breadth [command_type_breadth],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
First tower [first_tower],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Feudal military buildings [feudal_military_buildings],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Pre feudal wall tiles [pre_feudal_wall_tiles],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Opening wall style [opening_wall_style],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
First sheep task [first_sheep_task],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
First boar lure [first_boar_lure],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
First deer task [first_deer_task],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
First berry task [first_berry_task],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Boars taken [boars_taken],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Deer taken [deer_taken],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Herdables worked [herdables_worked],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Lumber camps built [lumber_camps_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Mining camps built [mining_camps_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Docks built [docks_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Farms before castle [farms_before_castle],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Villager rate feudal [villager_rate_feudal],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Villager rate castle [villager_rate_castle],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Eco rebound after raids [eco_rebound_after_raids],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Army value 10min [army_value_10min],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Army value 15min [army_value_15min],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Army value 20min [army_value_20min],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Military added feudal [military_added_feudal],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Military added castle [military_added_castle],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Military added imperial [military_added_imperial],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Trash units trained [trash_units_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Trash army share [trash_army_share],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Barracks built [barracks_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Ranges built [ranges_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Stables built [stables_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Siege workshops built [siege_workshops_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First monastery [first_monastery],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Fights per 10min [fights_per_10min],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Fight location bias [fight_location_bias],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Disengage moves [disengage_moves],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Garrisons during raids [garrisons_during_raids],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Town bell uses [town_bell_uses],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Repair commands [repair_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Attack ground per siege [attack_ground_per_siege],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
First raid suffered [first_raid_suffered],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
First raid initiated [first_raid_initiated],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Gold control share [gold_control_share],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Hunt control share [hunt_control_share],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Camps avg distance [camps_avg_distance],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Forward wall tiles [forward_wall_tiles],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Nearest berries distance [nearest_berries_distance],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Fights feudal [fights_feudal],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
